id,name,state_code,latitude,longitude
57584,Abhaneri,Rajasthan,27.00743,76.6076
57585,Abhayapuri,Assam,26.32255,90.68526
57586,Abiramam,Tamil Nadu,9.4423,78.4399
57587,Abohar,Punjab,30.14453,74.19552
57588,Abrama,Gujarat,20.85865,72.90648
57589,Achalpur,Maharashtra,21.25665,77.51006
57590,Achhnera,Uttar Pradesh,27.17826,77.75674
57591,Adalaj,Gujarat,23.16453,72.58107
57592,Adampur,Punjab,31.43224,75.71484
57593,Addanki,Andhra Pradesh,15.81061,79.97338
57594,Adirampattinam,Tamil Nadu,10.34059,79.37905
57595,Aduthurai,Tamil Nadu,11.01542,79.48093
57596,Adur,Kerala,9.15595,76.73192
57597,Afzalgarh,Uttar Pradesh,29.3937,78.67393
57598,Afzalpur,Karnataka,17.19986,76.36018
57599,Agar,Madhya Pradesh,23.71177,76.01571
57600,Agartala,Tripura,23.83605,91.27939
57601,Agra,Uttar Pradesh,27.18333,78.01667
57604,Ahmadpur,Maharashtra,18.70622,76.93731
57606,Ahmedabad,Gujarat,23.02579,72.58727
57607,Ahraura,Uttar Pradesh,25.01579,83.03294
57608,Ahwa,Gujarat,20.75718,73.68626
57609,Airoli,Maharashtra,19.15096,72.99625
57610,Aizawl,Mizoram,23.8,92.9
57611,Ajaigarh,Madhya Pradesh,24.89879,80.25921
57612,Ajitgarh,Punjab,30.65,76.7
57613,Ajjampur,Karnataka,13.72794,76.0068
57614,Ajmer,Rajasthan,26.25,74.66667
57615,Ajnala,Punjab,31.84473,74.76295
57616,Ayodhya,Uttar Pradesh,26.79909,82.2047
57617,Ajara,Maharashtra,16.11601,74.21097
57618,Akalkot,Maharashtra,17.52532,76.20611
57619,Akaltara,Chhattisgarh,22.02463,82.42641
57620,Akasahebpet,Andhra Pradesh,17.50455,82.56597
57621,Akbarpur,Uttar Pradesh,26.42953,82.53431
57622,Akhnur,Jammu and Kashmir,32.86667,74.73333
57623,Akividu,Andhra Pradesh,16.58225,81.38112
57624,Akkarampalle,Andhra Pradesh,13.65,79.42
57625,Aklera,Rajasthan,24.41288,76.56719
57626,Akodia,Madhya Pradesh,23.38027,76.59875
57627,Akola,Maharashtra,20.5,77.16667
57628,Akot,Maharashtra,21.0963,77.0588
57629,Akalgarh,Punjab,29.82074,75.89078
57630,Alagapuram,Tamil Nadu,11.88705,78.91758
57631,Alampur,Madhya Pradesh,26.02514,78.79697
57632,Aland,Karnataka,17.56425,76.56854
57633,Alandi,Maharashtra,18.67756,73.89868
57634,Alandur,Tamil Nadu,13.0025,80.20611
57635,Alanganallur,Tamil Nadu,10.04697,78.09033
57636,Alangayam,Tamil Nadu,12.62235,78.75207
57637,Alappuzha,Kerala,9.49004,76.3264
57638,Aldona,Goa,15.59337,73.87482
57639,Alirajpur,Madhya Pradesh,22.31384,74.36452
57640,Prayagraj (Allahabad),Uttar Pradesh,25.42012,81.88385
57641,Allahganj,Uttar Pradesh,27.5454,79.68715
57642,Allapalli,Maharashtra,19.43172,80.06377
57643,Almora,,29.69223,79.49789
57644,Alnavar,Karnataka,15.42727,74.74111
57645,Along,Arunachal Pradesh,28.16951,94.8006
57646,Alot,Madhya Pradesh,23.76336,75.55662
57647,Aluva,Kerala,10.10764,76.35158
57648,Alwa Tirunagari,Tamil Nadu,8.60635,77.93983
57649,Alwar,Rajasthan,27.5,76.5
57650,Alwaye,Kerala,10.10649,76.35484
57651,Alawalpur,Punjab,31.43161,75.65614
57652,Alibag,Maharashtra,18.64813,72.87579
57653,Aliganj,Uttar Pradesh,27.49358,79.17127
57654,Aligarh,Uttar Pradesh,27.83333,78.16667
57655,Alipur,Delhi,28.79862,77.13314
57656,Alur,Karnataka,12.97805,75.99094
57657,Amalner,Maharashtra,21.03983,75.05887
57658,Amalapuram,Andhra Pradesh,16.57868,82.00609
57659,Amarkantak,Madhya Pradesh,22.67486,81.75908
57660,Amarnath,Maharashtra,19.2,73.16667
57661,Amarpur,Bihar,25.03967,86.90247
57662,Amarpur,Tripura,23.5257,91.65879
57663,Amarpatan,Madhya Pradesh,24.31371,80.97703
57664,Amarwara,Madhya Pradesh,22.2978,79.16943
57665,Ambad,Maharashtra,19.61301,75.78906
57666,Ambahta,Uttar Pradesh,29.85706,77.33583
57667,Ambasamudram,Tamil Nadu,8.71068,77.4519
57668,Ambattur,Tamil Nadu,13.09818,80.16152
57669,Ambedkar Nagar,Uttar Pradesh,26.40544,82.69762
